user_id,age,gender,height_cm,weight_kg,bmi,goal,activity_level,equipment_access,sleep_hours,days_since_last_workout,weekly_workouts,completion_rate,recovery_score,recommended_workout,intensity_level,estimated_duration_min,estimated_calories,completed_workout
U1000,38,Male,151,60.7,26.6,Gain Strength,Beginner,Gym,6.9,1,5,0.84,94,Upper Body,1,46,415,1
U1001,18,Male,195,89.4,23.5,Lose Weight,Intermediate,Gym,6.8,9,2,1,83,Lower Body,2,64,523,1
U1002,20,Female,156,54.8,22.5,Lose Weight,Beginner,Gym,7.7,0,5,0.64,65,Full Body,1,42,458,1
U1003,29,Male,195,97,25.5,Build Muscle,Intermediate,Home,5,1,6,0.41,63,Pull,2,65,542,1
U1004,24,Female,194,76,20.2,Improve Fitness,Intermediate,Home,7.4,2,4,0.56,50,Upper Body,2,57,565,1
U1005,44,Male,164,82.6,30.7,Gain Strength,Intermediate,Gym,6.9,1,1,0.73,50,Lower Body,2,54,389,1
U1006,22,Male,185,76,22.2,Lose Weight,Intermediate,Gym,7.2,9,3,0.51,77,Cardio,2,46,443,1
U1007,43,Female,188,77.8,22,Build Muscle,Beginner,Mixed,6.8,8,2,0.61,99,Full Body,1,57,402,1
U1008,31,Male,179,78.2,24.4,Build Muscle,Intermediate,Home,5.9,8,6,0.87,53,Push,2,65,544,1
U1009,23,Male,188,89.8,25.4,Build Muscle,Beginner,Mixed,4.9,4,1,0.48,74,Push,1,47,335,0
U1010,33,Male,166,76.1,27.6,Lose Weight,Intermediate,Mixed,7.3,8,6,0.7,67,Full Body,2,52,455,1
U1011,25,Male,154,43.4,18.3,Build Muscle,Intermediate,Gym,6.3,3,0,0.64,87,Push,2,46,363,1
U1012,33,Male,184,87.7,25.9,Build Muscle,Advanced,Home,5.2,7,1,0.78,66,Lower Body,3,53,453,1
U1013,45,Male,193,80.8,21.7,Gain Strength,Intermediate,Gym,7.8,5,6,0.91,85,Lower Body,2,45,355,1
U1014,25,Male,178,66.5,21,Gain Strength,Advanced,Gym,6.8,10,4,0.78,86,Upper Body,3,46,506,1
U1015,23,Female,150,50.6,22.5,Improve Fitness,Beginner,Home,6.9,7,2,0.52,54,Cardio,1,34,346,0
U1016,19,Female,153,65.3,27.9,Build Muscle,Intermediate,Mixed,8.6,8,1,0.71,87,Push,2,64,454,1
U1017,36,Male,187,90.9,26,Lose Weight,Intermediate,Gym,6.4,9,4,0.79,95,Full Body,2,50,486,1
U1018,32,Female,154,57.6,24.3,Build Muscle,Intermediate,Home,8.8,1,0,0.25,84,Legs,2,56,486,1
U1019,35,Female,189,88.9,24.9,Improve Fitness,Intermediate,Gym,6.8,10,6,0.74,42,Cardio,2,34,267,1
